asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,tv_dd_pct,win,pf,trades,emaExitBandPct,trailTightenTriggerPct,trailTightPct
SPY,HOLDOUT,2423,0.667,0.908,20.3,6.6,75.0,5.69,4,1.5,0.0,15.25
SPY,RECENT,1936,0.482,0.642,37.0,15.1,62.5,5.23,8,1.5,0.0,15.25
SPY,FULL,1699,0.463,0.618,37.0,15.1,45.0,3.97,20,1.5,0.0,15.25
QQQ,IS,1603,0.34,0.441,40.0,31.6,31.6,2.01,19,1.5,0.0,15.25
QQQ,OOS,4888,0.718,0.975,37.6,8.8,50.0,10.0,4,1.5,0.0,15.25
QQQ,HOLDOUT,4496,0.857,1.19,32.7,7.5,50.0,9.31,4,1.5,0.0,15.25
QQQ,RECENT,4671,0.779,1.068,40.0,12.3,50.0,9.88,8,1.5,0.0,15.25
QQQ,FULL,2704,0.519,0.691,40.0,31.6,37.0,3.43,27,1.5,0.0,15.25
SMH,IS,3164,0.554,0.76,38.9,12.6,37.5,3.89,16,1.5,0.0,15.25
SMH,OOS,4615,0.532,0.742,38.7,17.7,60.0,5.97,5,1.5,0.0,15.25
SMH,HOLDOUT,6059,0.674,0.937,33.7,15.0,55.6,5.49,9,1.5,0.0,15.25
SMH,RECENT,5414,0.612,0.851,48.4,28.0,57.1,5.73,14,1.5,0.0,15.25
SMH,FULL,3972,0.568,0.784,48.4,28.0,46.7,4.77,30,1.5,0.0,15.25
IWM,IS,635,0.156,0.212,32.5,20.3,30.0,1.39,20,1.5,0.0,15.25
IWM,OOS,476,0.089,0.123,26.9,19.3,20.0,1.71,5,1.5,0.0,15.25
IWM,HOLDOUT,2786,0.551,0.804,19.4,7.5,33.3,2.33,3,1.5,0.0,15.25
IWM,RECENT,1753,0.338,0.481,31.7,19.3,25.0,1.88,8,1.5,0.0,15.25
IWM,FULL,1037,0.231,0.319,50.4,38.5,28.6,1.53,28,1.5,0.0,15.25
SPY,IS,1769,0.49,0.658,28.4,10.8,44.4,3.42,9,2.0,0.0,15.25
SPY,OOS,1071,0.242,0.315,31.7,9.9,50.0,3.96,4,2.0,0.0,15.25
SPY,HOLDOUT,2127,0.59,0.796,20.3,7.1,75.0,4.63,4,2.0,0.0,15.25
SPY,RECENT,1655,0.414,0.549,38.6,17.0,62.5,4.21,8,2.0,0.0,15.25
SPY,FULL,1728,0.461,0.615,38.6,17.0,52.9,3.71,17,2.0,0.0,15.25
QQQ,IS,1957,0.406,0.53,43.1,22.4,31.2,2.19,16,2.0,0.0,15.25
QQQ,OOS,4699,0.685,0.928,40.0,11.3,50.0,9.03,4,2.0,0.0,15.25
QQQ,HOLDOUT,4516,0.86,1.193,32.7,7.5,50.0,9.78,4,2.0,0.0,15.25
QQQ,RECENT,4598,0.764,1.044,42.5,14.7,50.0,9.3,8,2.0,0.0,15.25
QQQ,FULL,2905,0.55,0.733,43.1,22.4,37.5,3.76,24,2.0,0.0,15.25
SMH,IS,2584,0.461,0.629,40.0,20.1,40.0,2.69,15,2.0,0.0,15.25
SMH,OOS,4606,0.533,0.743,39.1,18.7,60.0,5.66,5,2.0,0.0,15.25
SMH,HOLDOUT,6783,0.744,1.04,33.7,15.0,62.5,7.1,8,2.0,0.0,15.25
SMH,RECENT,5810,0.652,0.91,39.7,20.0,61.5,6.31,13,2.0,0.0,15.25
SMH,FULL,3743,0.537,0.742,40.0,20.1,50.0,4.09,28,2.0,0.0,15.25
IWM,IS,877,0.212,0.287,34.3,20.4,27.8,1.59,18,2.0,0.0,15.25
IWM,OOS,1841,0.312,0.439,26.9,14.7,25.0,2.83,4,2.0,0.0,15.25
IWM,HOLDOUT,2335,0.46,0.667,22.0,10.5,33.3,1.25,3,2.0,0.0,15.25
IWM,RECENT,2114,0.387,0.553,37.0,14.7,28.6,2.19,7,2.0,0.0,15.25
IWM,FULL,1321,0.284,0.394,48.5,34.0,28.0,1.77,25,2.0,0.0,15.25
SPY,IS,1830,0.511,0.686,30.1,10.3,57.1,4.45,7,3.0,0.0,15.25
SPY,OOS,1676,0.376,0.498,25.1,7.9,66.7,5.64,3,3.0,0.0,15.25
SPY,HOLDOUT,3575,0.909,1.254,22.0,9.3,50.0,3.7,2,3.0,0.0,15.25
SPY,RECENT,2726,0.654,0.882,34.0,17.0,60.0,4.71,5,3.0,0.0,15.25
SPY,FULL,2152,0.566,0.761,34.0,17.0,58.3,4.56,12,3.0,0.0,15.25
QQQ,IS,2381,0.466,0.609,44.1,28.4,33.3,2.67,12,3.0,0.0,15.25
QQQ,OOS,4160,0.611,0.824,42.0,13.4,50.0,7.0,4,3.0,0.0,15.25
QQQ,HOLDOUT,3601,0.691,0.951,32.4,7.5,50.0,4.44,4,3.0,0.0,15.25
QQQ,RECENT,3851,0.645,0.876,47.2,19.0,50.0,5.8,8,3.0,0.0,15.25
QQQ,FULL,2908,0.535,0.711,47.2,28.4,40.0,3.63,20,3.0,0.0,15.25
SMH,IS,2973,0.517,0.707,41.8,21.1,50.0,3.62,12,3.0,0.0,15.25
