asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,tv_dd_pct,win,pf,trades,emaExitBandPct,trailTightenTriggerPct,trailTightPct
SMH,HOLDOUT,9087,1.102,1.579,35.2,16.4,60.0,6.88,10,0.0,20.0,10.0
SMH,RECENT,7386,0.937,1.337,36.3,24.5,52.6,6.55,19,0.0,20.0,10.0
SMH,FULL,4237,0.686,0.962,37.2,26.6,40.0,3.78,50,0.0,20.0,10.0
IWM,IS,932,0.246,0.335,31.6,19.2,29.4,1.7,34,0.0,20.0,10.0
IWM,OOS,669,0.149,0.207,22.9,12.4,12.5,1.73,8,0.0,20.0,10.0
IWM,HOLDOUT,195,0.044,0.062,18.0,14.9,36.4,1.01,11,0.0,20.0,10.0
IWM,RECENT,407,0.091,0.128,37.4,24.9,26.3,1.34,19,0.0,20.0,10.0
IWM,FULL,743,0.184,0.253,37.4,24.9,28.3,1.57,53,0.0,20.0,10.0
SPY,IS,1344,0.461,0.627,24.5,9.1,46.2,2.98,26,0.0,30.0,5.0
SPY,OOS,1305,0.347,0.455,22.6,9.3,28.6,3.2,7,0.0,30.0,5.0
SPY,HOLDOUT,2889,0.836,1.158,20.2,14.1,37.5,2.86,8,0.0,30.0,5.0
SPY,RECENT,2181,0.607,0.817,22.6,14.1,33.3,2.99,15,0.0,30.0,5.0
SPY,FULL,1645,0.518,0.701,24.5,14.1,41.5,2.98,41,0.0,30.0,5.0
QQQ,IS,2336,0.576,0.766,28.4,18.5,40.7,3.35,27,0.0,30.0,5.0
QQQ,OOS,4132,0.806,1.095,21.0,9.3,42.9,7.96,7,0.0,30.0,5.0
QQQ,HOLDOUT,4274,0.893,1.262,25.2,11.1,28.6,3.48,7,0.0,30.0,5.0
QQQ,RECENT,4210,0.852,1.181,25.2,12.4,35.7,4.94,14,0.0,30.0,5.0
QQQ,FULL,3009,0.685,0.927,28.4,18.5,39.0,3.98,41,0.0,30.0,5.0
SMH,IS,2420,0.501,0.687,35.1,25.3,38.7,2.48,31,0.0,30.0,5.0
SMH,OOS,2898,0.444,0.621,37.1,34.3,41.7,2.3,12,0.0,30.0,5.0
SMH,HOLDOUT,6175,0.781,1.104,32.5,23.0,45.5,2.99,11,0.0,30.0,5.0
SMH,RECENT,4711,0.643,0.906,44.0,40.7,43.5,2.62,23,0.0,30.0,5.0
SMH,FULL,3242,0.555,0.772,44.0,40.7,40.7,2.56,54,0.0,30.0,5.0
IWM,IS,1806,0.484,0.669,24.0,16.0,25.0,2.54,32,0.0,30.0,5.0
IWM,OOS,564,0.131,0.182,20.1,12.4,12.5,1.61,8,0.0,30.0,5.0
IWM,HOLDOUT,816,0.18,0.261,20.1,15.0,30.0,1.35,10,0.0,30.0,5.0
IWM,RECENT,703,0.159,0.225,34.6,26.0,22.2,1.45,18,0.0,30.0,5.0
IWM,FULL,1410,0.353,0.493,34.6,26.0,24.0,2.04,50,0.0,30.0,5.0
SPY,IS,1429,0.477,0.645,24.5,8.7,44.0,3.18,25,0.0,30.0,7.5
SPY,OOS,1326,0.34,0.447,22.6,12.2,28.6,2.66,7,0.0,30.0,7.5
SPY,HOLDOUT,3276,0.948,1.339,15.9,6.0,42.9,5.22,7,0.0,30.0,7.5
SPY,RECENT,2404,0.657,0.894,25.5,15.5,35.7,3.62,14,0.0,30.0,7.5
SPY,FULL,1779,0.547,0.742,25.5,15.5,41.0,3.39,39,0.0,30.0,7.5
QQQ,IS,2421,0.599,0.803,28.4,18.5,38.5,3.27,26,0.0,30.0,7.5
QQQ,OOS,4470,0.867,1.178,21.4,4.6,57.1,10.0,7,0.0,30.0,7.5
QQQ,HOLDOUT,3673,0.759,1.068,25.2,11.2,28.6,2.84,7,0.0,30.0,7.5
QQQ,RECENT,4029,0.809,1.119,25.2,11.2,42.9,5.24,14,0.0,30.0,7.5
QQQ,FULL,2999,0.681,0.926,28.4,18.5,40.0,3.96,40,0.0,30.0,7.5
SMH,IS,2697,0.559,0.772,35.1,25.3,36.7,2.87,30,0.0,30.0,7.5
SMH,OOS,1640,0.251,0.349,39.8,33.7,33.3,1.71,12,0.0,30.0,7.5
SMH,HOLDOUT,7491,0.917,1.295,32.5,16.4,60.0,4.42,10,0.0,30.0,7.5
SMH,RECENT,4877,0.651,0.915,46.7,40.0,45.5,2.55,22,0.0,30.0,7.5
SMH,FULL,3480,0.588,0.82,46.7,40.0,40.4,2.66,52,0.0,30.0,7.5
IWM,IS,1540,0.405,0.557,24.7,15.7,25.0,2.23,32,0.0,30.0,7.5
IWM,OOS,853,0.193,0.271,20.8,12.4,12.5,1.79,8,0.0,30.0,7.5
IWM,HOLDOUT,1231,0.271,0.394,14.5,14.9,30.0,1.82,10,0.0,30.0,7.5
IWM,RECENT,1062,0.237,0.339,35.3,26.3,22.2,1.81,18,0.0,30.0,7.5
IWM,FULL,1369,0.337,0.471,35.3,26.3,24.0,2.06,50,0.0,30.0,7.5
SPY,IS,1303,0.431,0.58,24.5,8.6,48.0,2.97,25,0.0,30.0,10.0
SPY,OOS,1086,0.277,0.363,25.1,11.3,28.6,2.57,7,0.0,30.0,10.0
SPY,HOLDOUT,3114,0.875,1.21,18.2,7.1,42.9,4.49,7,0.0,30.0,10.0
SPY,RECENT,2208,0.593,0.798,28.2,14.6,35.7,3.38,14,0.0,30.0,10.0
SPY,FULL,1628,0.495,0.665,28.2,14.6,43.6,3.16,39,0.0,30.0,10.0
QQQ,IS,2120,0.516,0.686,28.4,18.5,32.0,2.77,25,0.0,30.0,10.0
QQQ,OOS,5724,1.041,1.415,21.0,2.3,50.0,10.0,6,0.0,30.0,10.0
QQQ,HOLDOUT,5054,0.985,1.396,23.6,7.5,40.0,8.3,5,0.0,30.0,10.0
QQQ,RECENT,5354,1.01,1.403,23.6,7.5,45.5,10.0,11,0.0,30.0,10.0
QQQ,FULL,3281,0.717,0.974,28.4,18.5,36.1,4.82,36,0.0,30.0,10.0
SMH,IS,2422,0.483,0.66,35.1,25.3,33.3,2.37,30,0.0,30.0,10.0
SMH,OOS,5289,0.715,1.016,29.5,18.2,44.4,5.98,9,0.0,30.0,10.0
SMH,HOLDOUT,6302,0.761,1.064,35.2,16.4,50.0,3.83,10,0.0,30.0,10.0
SMH,RECENT,5849,0.741,1.042,36.3,24.5,47.4,4.64,19,0.0,30.0,10.0
SMH,FULL,3653,0.589,0.818,36.3,25.3,38.8,3.37,49,0.0,30.0,10.0
IWM,IS,1290,0.333,0.453,31.6,19.2,25.0,2.0,32,0.0,30.0,10.0
IWM,OOS,669,0.149,0.207,22.9,12.4,12.5,1.73,8,0.0,30.0,10.0
IWM,HOLDOUT,1000,0.218,0.313,17.8,14.9,30.0,1.64,10,0.0,30.0,10.0
IWM,RECENT,852,0.187,0.265,37.4,24.9,22.2,1.68,18,0.0,30.0,10.0
IWM,FULL,1133,0.274,0.38,37.4,24.9,24.0,1.88,50,0.0,30.0,10.0
SPY,IS,1479,0.478,0.646,24.5,8.6,45.8,3.28,24,0.0,50.0,5.0
SPY,OOS,1455,0.357,0.471,22.6,9.3,33.3,3.69,6,0.0,50.0,5.0
SPY,HOLDOUT,3114,0.875,1.21,18.2,7.1,42.9,4.49,7,0.0,50.0,5.0
SPY,RECENT,2373,0.625,0.843,24.0,10.6,38.5,4.1,13,0.0,50.0,5.0
SPY,FULL,1800,0.535,0.722,24.5,11.2,43.2,3.63,37,0.0,50.0,5.0
QQQ,IS,2367,0.569,0.749,28.4,18.5,36.0,3.12,25,0.0,50.0,5.0
QQQ,OOS,4206,0.76,1.029,21.4,9.7,50.0,10.0,6,0.0,50.0,5.0
QQQ,HOLDOUT,6359,1.248,1.799,20.0,5.7,60.0,10.0,5,0.0,50.0,5.0
QQQ,RECENT,5397,1.019,1.423,23.8,9.7,54.5,10.0,11,0.0,50.0,5.0
QQQ,FULL,3455,0.751,1.016,28.4,18.5,41.7,5.19,36,0.0,50.0,5.0
SMH,IS,2403,0.49,0.67,35.1,25.3,35.5,2.38,31,0.0,50.0,5.0
SMH,OOS,3064,0.413,0.577,40.4,20.5,44.4,4.15,9,0.0,50.0,5.0
SMH,HOLDOUT,8316,0.927,1.301,33.7,15.0,66.7,9.53,9,0.0,50.0,5.0
SMH,RECENT,5969,0.718,1.006,47.3,26.8,55.6,6.28,18,0.0,50.0,5.0
SMH,FULL,3683,0.581,0.806,47.3,26.8,42.9,3.78,49,0.0,50.0,5.0
IWM,IS,1360,0.337,0.461,28.9,12.6,27.6,2.29,29,0.0,50.0,5.0
IWM,OOS,1585,0.315,0.447,21.0,14.7,12.5,2.08,8,0.0,50.0,5.0
IWM,HOLDOUT,987,0.212,0.305,18.0,14.9,33.3,1.72,9,0.0,50.0,5.0
IWM,RECENT,1254,0.26,0.371,35.4,29.5,23.5,1.92,17,0.0,50.0,5.0
IWM,FULL,1322,0.305,0.425,35.4,29.5,26.1,2.13,46,0.0,50.0,5.0
SPY,IS,1479,0.478,0.646,24.5,8.6,45.8,3.28,24,0.0,50.0,7.5
SPY,OOS,1455,0.357,0.471,22.6,9.3,33.3,3.69,6,0.0,50.0,7.5
SPY,HOLDOUT,3114,0.875,1.21,18.2,7.1,42.9,4.49,7,0.0,50.0,7.5
SPY,RECENT,2373,0.625,0.843,24.0,10.6,38.5,4.1,13,0.0,50.0,7.5
SPY,FULL,1800,0.535,0.722,24.5,11.2,43.2,3.63,37,0.0,50.0,7.5
QQQ,IS,2211,0.527,0.691,28.4,18.5,36.0,2.98,25,0.0,50.0,7.5
QQQ,OOS,4627,0.825,1.117,22.3,4.6,50.0,10.0,6,0.0,50.0,7.5
QQQ,HOLDOUT,5838,1.145,1.637,19.5,5.7,60.0,10.0,5,0.0,50.0,7.5
QQQ,RECENT,5297,0.994,1.381,24.7,7.6,54.5,10.0,11,0.0,50.0,7.5
QQQ,FULL,3319,0.716,0.964,28.4,18.5,41.7,5.05,36,0.0,50.0,7.5
SMH,IS,2460,0.503,0.692,35.1,25.3,36.7,2.64,30,0.0,50.0,7.5
SMH,OOS,2810,0.377,0.53,40.4,24.7,33.3,2.72,9,0.0,50.0,7.5
SMH,HOLDOUT,7618,0.851,1.19,33.7,15.0,66.7,8.78,9,0.0,50.0,7.5
SMH,RECENT,5470,0.658,0.921,47.3,31.0,50.0,4.37,18,0.0,50.0,7.5
SMH,FULL,3540,0.559,0.777,47.3,31.0,41.7,3.47,48,0.0,50.0,7.5
IWM,IS,1360,0.337,0.461,28.9,12.6,27.6,2.29,29,0.0,50.0,7.5
IWM,OOS,1532,0.303,0.428,21.6,12.4,12.5,2.3,8,0.0,50.0,7.5
IWM,HOLDOUT,987,0.212,0.305,18.0,14.9,33.3,1.72,9,0.0,50.0,7.5
IWM,RECENT,1231,0.255,0.363,36.1,25.7,23.5,2.01,17,0.0,50.0,7.5
IWM,FULL,1313,0.303,0.422,36.1,25.7,26.1,2.17,46,0.0,50.0,7.5
SPY,IS,1479,0.478,0.646,24.5,8.6,45.8,3.28,24,0.0,50.0,10.0
SPY,OOS,1455,0.357,0.471,22.6,9.3,33.3,3.69,6,0.0,50.0,10.0
SPY,HOLDOUT,3114,0.875,1.21,18.2,7.1,42.9,4.49,7,0.0,50.0,10.0
SPY,RECENT,2373,0.625,0.843,24.0,10.6,38.5,4.1,13,0.0,50.0,10.0
SPY,FULL,1800,0.535,0.722,24.5,11.2,43.2,3.63,37,0.0,50.0,10.0
QQQ,IS,1958,0.464,0.605,28.4,18.5,32.0,2.61,25,0.0,50.0,10.0
QQQ,OOS,4105,0.718,0.97,22.3,4.6,50.0,10.0,6,0.0,50.0,10.0
QQQ,HOLDOUT,5054,0.985,1.396,23.6,7.5,40.0,8.3,5,0.0,50.0,10.0
QQQ,RECENT,4630,0.858,1.185,24.7,7.6,45.5,10.0,11,0.0,50.0,10.0
QQQ,FULL,2917,0.623,0.836,28.4,18.5,36.1,4.24,36,0.0,50.0,10.0
SMH,IS,2422,0.483,0.66,35.1,25.3,33.3,2.37,30,0.0,50.0,10.0
SMH,OOS,4355,0.543,0.767,40.4,20.5,37.5,4.89,8,0.0,50.0,10.0
SMH,HOLDOUT,6949,0.776,1.083,33.7,15.0,55.6,7.97,9,0.0,50.0,10.0
SMH,RECENT,5790,0.677,0.95,47.3,26.8,47.1,6.12,17,0.0,50.0,10.0
SMH,FULL,3631,0.558,0.775,47.3,26.8,38.3,3.71,47,0.0,50.0,10.0
IWM,IS,1360,0.337,0.461,28.9,12.6,27.6,2.29,29,0.0,50.0,10.0
IWM,OOS,1271,0.248,0.346,24.6,12.4,12.5,2.11,8,0.0,50.0,10.0
IWM,HOLDOUT,987,0.212,0.305,18.0,14.9,33.3,1.72,9,0.0,50.0,10.0
IWM,RECENT,1114,0.229,0.324,39.1,25.7,23.5,1.92,17,0.0,50.0,10.0
IWM,FULL,1271,0.292,0.406,39.1,25.7,26.1,2.14,46,0.0,50.0,10.0
SPY,IS,1180,0.391,0.522,23.8,13.9,33.3,1.86,18,1.0,20.0,7.5
SPY,OOS,2270,0.596,0.796,25.8,15.8,50.0,3.82,6,1.0,20.0,7.5
SPY,HOLDOUT,3002,0.906,1.26,16.0,4.1,60.0,10.0,5,1.0,20.0,7.5
SPY,RECENT,2675,0.755,1.028,27.9,18.2,54.5,5.09,11,1.0,20.0,7.5
SPY,FULL,1717,0.534,0.718,27.9,18.2,41.4,2.83,29,1.0,20.0,7.5
QQQ,IS,1933,0.486,0.656,43.2,34.4,33.3,2.17,24,1.0,20.0,7.5
QQQ,OOS,4909,1.021,1.412,26.5,17.7,50.0,4.9,8,1.0,20.0,7.5
QQQ,HOLDOUT,4784,1.025,1.463,19.2,9.8,66.7,5.34,6,1.0,20.0,7.5
QQQ,RECENT,4840,1.023,1.439,30.3,22.6,57.1,5.08,14,1.0,20.0,7.5
QQQ,FULL,2977,0.698,0.959,43.2,34.4,42.1,3.08,38,1.0,20.0,7.5
SMH,IS,3702,0.766,1.087,24.2,14.4,40.9,3.7,22,1.0,20.0,7.5
SMH,OOS,1640,0.247,0.344,38.1,30.9,50.0,1.84,10,1.0,20.0,7.5
SMH,HOLDOUT,7833,0.971,1.39,34.8,27.9,50.0,3.23,12,1.0,20.0,7.5
SMH,RECENT,5066,0.679,0.962,47.9,41.2,50.0,2.43,22,1.0,20.0,7.5
SMH,FULL,4192,0.709,1.005,47.9,41.2,45.5,2.83,44,1.0,20.0,7.5
IWM,IS,651,0.173,0.233,32.5,23.7,24.1,1.3,29,1.0,20.0,7.5
IWM,OOS,273,0.062,0.086,23.3,16.3,28.6,1.46,7,1.0,20.0,7.5
IWM,HOLDOUT,2055,0.445,0.65,18.1,13.3,42.9,3.17,7,1.0,20.0,7.5
IWM,RECENT,1259,0.278,0.397,34.4,25.7,35.7,2.11,14,1.0,20.0,7.5
IWM,FULL,870,0.214,0.296,43.4,33.8,27.9,1.56,43,1.0,20.0,7.5
SPY,IS,1561,0.467,0.621,25.8,11.0,33.3,2.98,15,1.0,20.0,10.0
SPY,OOS,1204,0.317,0.415,28.1,14.8,50.0,3.17,6,1.0,20.0,10.0
SPY,HOLDOUT,3321,0.943,1.322,14.5,2.5,75.0,10.0,4,1.0,20.0,10.0
SPY,RECENT,2375,0.651,0.882,30.2,17.2,60.0,5.47,10,1.0,20.0,10.0
SPY,FULL,1853,0.536,0.719,30.2,17.2,44.0,3.89,25,1.0,20.0,10.0
QQQ,IS,1510,0.366,0.484,34.1,22.1,26.1,1.93,23,1.0,20.0,10.0
QQQ,OOS,4662,0.913,1.238,22.8,11.5,57.1,6.78,7,1.0,20.0,10.0
QQQ,HOLDOUT,4156,0.86,1.212,20.4,6.8,60.0,9.37,5,1.0,20.0,10.0
QQQ,RECENT,4382,0.884,1.223,26.6,16.3,58.3,7.58,12,1.0,20.0,10.0
QQQ,FULL,2541,0.572,0.772,34.1,22.1,37.1,3.13,35,1.0,20.0,10.0
SMH,IS,3390,0.663,0.927,37.3,18.0,38.1,3.16,21,1.0,20.0,10.0
SMH,OOS,6131,0.8,1.138,27.7,15.4,66.7,7.86,6,1.0,20.0,10.0
SMH,HOLDOUT,8885,1.077,1.543,35.2,16.4,60.0,6.05,10,1.0,20.0,10.0
SMH,RECENT,7655,0.958,1.368,37.5,25.7,62.5,6.76,16,1.0,20.0,10.0
SMH,FULL,4921,0.781,1.105,37.5,25.7,48.6,4.64,37,1.0,20.0,10.0
IWM,IS,393,0.102,0.137,39.3,27.1,24.1,1.14,29,1.0,20.0,10.0
IWM,OOS,89,0.02,0.027,24.0,16.3,28.6,1.39,7,1.0,20.0,10.0
IWM,HOLDOUT,1442,0.308,0.44,18.8,13.3,33.3,1.53,6,1.0,20.0,10.0
IWM,RECENT,837,0.182,0.256,36.6,24.4,30.8,1.45,13,1.0,20.0,10.0
IWM,FULL,553,0.134,0.183,48.3,35.5,26.2,1.24,42,1.0,20.0,10.0
SPY,IS,1433,0.45,0.604,26.1,13.9,33.3,2.64,15,1.0,30.0,7.5
SPY,OOS,1852,0.437,0.578,27.0,15.8,40.0,3.51,5,1.0,30.0,7.5
SPY,HOLDOUT,2938,0.823,1.138,20.0,10.1,60.0,4.3,5,1.0,30.0,7.5
SPY,RECENT,2453,0.632,0.852,29.1,18.2,50.0,3.82,10,1.0,30.0,7.5
SPY,FULL,1799,0.521,0.701,29.1,18.2,40.0,3.19,25,1.0,30.0,7.5
QQQ,IS,1688,0.406,0.535,40.8,22.7,34.8,2.22,23,1.0,30.0,7.5
QQQ,OOS,3928,0.751,1.018,27.4,10.2,57.1,6.67,7,1.0,30.0,7.5
QQQ,HOLDOUT,3742,0.773,1.088,25.2,10.4,33.3,3.15,6,1.0,30.0,7.5
QQQ,RECENT,3825,0.762,1.053,31.2,15.1,46.2,4.43,13,1.0,30.0,7.5
QQQ,FULL,2455,0.548,0.736,40.8,22.7,38.9,2.98,36,1.0,30.0,7.5
SMH,IS,3631,0.733,1.034,24.0,14.4,40.0,3.87,20,1.0,30.0,7.5
SMH,OOS,2516,0.369,0.517,38.1,30.9,44.4,1.99,9,1.0,30.0,7.5
SMH,HOLDOUT,7289,0.892,1.26,32.5,16.4,60.0,4.03,10,1.0,30.0,7.5
SMH,RECENT,5156,0.679,0.956,47.9,41.2,52.6,2.68,19,1.0,30.0,7.5
SMH,FULL,4178,0.693,0.975,47.9,41.2,46.2,3.07,39,1.0,30.0,7.5
IWM,IS,806,0.211,0.285,32.5,23.7,21.4,1.39,28,1.0,30.0,7.5
IWM,OOS,273,0.062,0.086,23.3,16.3,28.6,1.46,7,1.0,30.0,7.5
IWM,HOLDOUT,2689,0.547,0.809,18.1,13.3,33.3,3.34,6,1.0,30.0,7.5
IWM,RECENT,1610,0.342,0.494,34.4,25.7,30.8,2.26,13,1.0,30.0,7.5
IWM,FULL,1095,0.263,0.366,41.1,32.5,24.4,1.68,41,1.0,30.0,7.5
SPY,IS,1523,0.45,0.602,25.8,10.9,35.7,3.23,14,1.0,30.0,10.0
SPY,OOS,1591,0.373,0.492,30.0,14.8,40.0,3.48,5,1.0,30.0,10.0
SPY,HOLDOUT,3321,0.943,1.322,14.5,2.5,75.0,10.0,4,1.0,30.0,10.0
SPY,RECENT,2548,0.659,0.892,32.1,17.2,55.6,5.76,9,1.0,30.0,10.0
SPY,FULL,1891,0.531,0.713,32.1,17.2,43.5,4.24,23,1.0,30.0,10.0
QQQ,IS,1164,0.274,0.356,40.8,22.7,26.1,1.67,23,1.0,30.0,10.0
QQQ,OOS,4879,0.871,1.177,25.1,11.5,50.0,7.0,6,1.0,30.0,10.0
QQQ,HOLDOUT,5230,1.019,1.446,23.6,6.8,50.0,10.0,4,1.0,30.0,10.0
QQQ,RECENT,5073,0.949,1.314,28.9,16.3,50.0,8.65,10,1.0,30.0,10.0
QQQ,FULL,2568,0.55,0.734,40.8,22.7,33.3,3.16,33,1.0,30.0,10.0
SMH,IS,3211,0.618,0.86,37.3,18.0,35.0,3.01,20,1.0,30.0,10.0
SMH,OOS,6131,0.8,1.138,27.7,15.4,66.7,7.86,6,1.0,30.0,10.0
SMH,HOLDOUT,6100,0.736,1.029,35.2,16.4,50.0,3.49,10,1.0,30.0,10.0
SMH,RECENT,6114,0.763,1.074,37.5,25.7,56.2,4.88,16,1.0,30.0,10.0
SMH,FULL,4253,0.67,0.938,37.5,25.7,44.4,3.87,36,1.0,30.0,10.0
IWM,IS,561,0.144,0.193,39.3,27.1,21.4,1.24,28,1.0,30.0,10.0
IWM,OOS,89,0.02,0.027,24.0,16.3,28.6,1.39,7,1.0,30.0,10.0
IWM,HOLDOUT,2449,0.492,0.718,18.5,13.3,20.0,1.19,5,1.0,30.0,10.0
IWM,RECENT,1394,0.292,0.417,36.6,24.4,25.0,1.3,12,1.0,30.0,10.0
IWM,FULL,860,0.204,0.28,44.5,32.5,22.5,1.26,40,1.0,30.0,10.0
SPY,IS,1137,0.371,0.495,28.9,20.4,35.7,1.69,14,2.0,20.0,7.5
SPY,OOS,1986,0.484,0.646,30.7,19.6,40.0,3.03,5,2.0,20.0,7.5
SPY,HOLDOUT,1459,0.433,0.58,19.3,8.2,60.0,1.91,5,2.0,20.0,7.5
SPY,RECENT,1694,0.456,0.609,37.6,26.7,50.0,2.59,10,2.0,20.0,7.5
SPY,FULL,1337,0.404,0.539,37.6,26.7,41.7,2.04,24,2.0,20.0,7.5
QQQ,IS,2090,0.518,0.7,36.5,27.3,30.0,2.01,20,2.0,20.0,7.5
QQQ,OOS,5076,1.053,1.452,27.5,18.8,57.1,5.81,7,2.0,20.0,7.5
QQQ,HOLDOUT,4833,1.033,1.474,19.2,9.8,66.7,5.39,6,2.0,20.0,7.5
QQQ,RECENT,4941,1.042,1.463,29.9,22.3,61.5,5.64,13,2.0,20.0,7.5
QQQ,FULL,3114,0.724,0.994,36.5,27.3,42.4,3.08,33,2.0,20.0,7.5
SMH,IS,3250,0.669,0.945,39.3,29.3,47.4,2.93,19,2.0,20.0,7.5
SMH,OOS,1610,0.243,0.339,38.5,31.9,50.0,1.77,10,2.0,20.0,7.5
SMH,HOLDOUT,8597,1.051,1.514,34.8,27.9,54.5,3.62,11,2.0,20.0,7.5
SMH,RECENT,5476,0.728,1.036,39.1,33.2,52.4,2.53,21,2.0,20.0,7.5
SMH,FULL,4049,0.68,0.965,39.3,33.2,50.0,2.68,40,2.0,20.0,7.5
IWM,IS,969,0.251,0.342,31.2,20.4,28.6,1.54,21,2.0,20.0,7.5
IWM,OOS,1536,0.323,0.461,23.2,14.7,20.0,2.12,5,2.0,20.0,7.5
IWM,HOLDOUT,2010,0.43,0.624,19.6,10.5,50.0,3.17,6,2.0,20.0,7.5
IWM,RECENT,1798,0.382,0.55,30.9,20.9,36.4,2.52,11,2.0,20.0,7.5
IWM,FULL,1267,0.303,0.423,45.4,34.0,31.2,1.86,32,2.0,20.0,7.5
SPY,IS,1549,0.449,0.597,28.4,14.4,36.4,2.49,11,2.0,20.0,10.0
SPY,OOS,1467,0.354,0.469,33.6,18.6,40.0,2.82,5,2.0,20.0,10.0
SPY,HOLDOUT,2560,0.749,1.036,14.1,7.1,75.0,5.7,4,2.0,20.0,10.0
SPY,RECENT,2072,0.551,0.744,40.5,25.7,55.6,3.5,9,2.0,20.0,10.0
SPY,FULL,1736,0.487,0.651,40.5,25.7,45.0,2.9,20,2.0,20.0,10.0
QQQ,IS,1661,0.397,0.526,35.2,22.4,26.3,1.76,19,2.0,20.0,10.0
QQQ,OOS,4892,0.956,1.295,22.5,11.3,66.7,9.26,6,2.0,20.0,10.0
QQQ,HOLDOUT,4204,0.868,1.224,20.4,6.8,60.0,10.0,5,2.0,20.0,10.0
QQQ,RECENT,4512,0.909,1.256,24.9,14.7,63.6,9.5,11,2.0,20.0,10.0
QQQ,FULL,2684,0.599,0.809,35.2,22.4,40.0,3.15,30,2.0,20.0,10.0
SMH,IS,2770,0.544,0.756,44.7,30.6,38.9,2.35,18,2.0,20.0,10.0
SMH,OOS,6106,0.799,1.137,28.1,16.4,66.7,7.44,6,2.0,20.0,10.0
SMH,HOLDOUT,9637,1.153,1.662,35.2,16.4,66.7,7.31,9,2.0,20.0,10.0
SMH,RECENT,8059,1.002,1.436,35.2,17.7,66.7,7.37,15,2.0,20.0,10.0
SMH,FULL,4669,0.739,1.046,44.7,30.6,51.5,4.05,33,2.0,20.0,10.0
IWM,IS,702,0.179,0.242,34.2,22.0,28.6,1.36,21,2.0,20.0,10.0
IWM,OOS,1310,0.271,0.383,23.5,14.7,20.0,2.06,5,2.0,20.0,10.0
IWM,HOLDOUT,1401,0.296,0.42,21.4,10.5,40.0,1.5,5,2.0,20.0,10.0
IWM,RECENT,1361,0.284,0.403,33.5,19.6,30.0,1.83,10,2.0,20.0,10.0
IWM,FULL,939,0.221,0.305,46.1,34.0,29.0,1.51,31,2.0,20.0,10.0
SPY,IS,1442,0.445,0.597,23.6,10.8,45.5,2.75,11,2.0,30.0,7.5
SPY,OOS,1162,0.276,0.36,30.7,19.6,40.0,2.55,5,2.0,30.0,7.5
SPY,HOLDOUT,2169,0.624,0.852,19.7,10.3,60.0,2.47,5,2.0,30.0,7.5
SPY,RECENT,1719,0.45,0.599,37.6,26.7,50.0,2.51,10,2.0,30.0,7.5
SPY,FULL,1542,0.445,0.596,37.6,26.7,47.6,2.62,21,2.0,30.0,7.5
QQQ,IS,2163,0.514,0.685,26.6,22.4,33.3,2.31,18,2.0,30.0,7.5
QQQ,OOS,5054,0.987,1.362,28.4,11.3,66.7,9.45,6,2.0,30.0,7.5
QQQ,HOLDOUT,3790,0.782,1.099,25.2,10.4,33.3,3.22,6,2.0,30.0,7.5
QQQ,RECENT,4355,0.876,1.22,30.9,14.7,50.0,5.47,12,2.0,30.0,7.5
QQQ,FULL,2950,0.656,0.891,30.9,22.4,40.0,3.34,30,2.0,30.0,7.5
SMH,IS,3135,0.63,0.885,39.3,29.3,47.1,2.99,17,2.0,30.0,7.5
SMH,OOS,2486,0.365,0.512,38.5,31.9,44.4,1.93,9,2.0,30.0,7.5
SMH,HOLDOUT,9401,1.137,1.63,32.5,16.4,66.7,5.37,9,2.0,30.0,7.5
SMH,RECENT,6312,0.825,1.173,39.1,33.2,55.6,3.01,18,2.0,30.0,7.5
SMH,FULL,4275,0.704,0.995,39.3,33.2,51.4,3.0,35,2.0,30.0,7.5
IWM,IS,969,0.251,0.342,31.2,20.4,28.6,1.54,21,2.0,30.0,7.5
IWM,OOS,1536,0.323,0.461,23.2,14.7,20.0,2.12,5,2.0,30.0,7.5
IWM,HOLDOUT,2590,0.522,0.769,18.5,10.8,40.0,3.2,5,2.0,30.0,7.5
IWM,RECENT,2119,0.436,0.632,30.9,20.9,30.0,2.59,10,2.0,30.0,7.5
IWM,FULL,1382,0.325,0.456,45.4,34.0,29.0,1.9,31,2.0,30.0,7.5
SPY,IS,1604,0.456,0.611,28.4,10.8,40.0,2.92,10,2.0,30.0,10.0
SPY,OOS,910,0.215,0.28,33.6,18.6,40.0,2.47,5,2.0,30.0,10.0
SPY,HOLDOUT,2560,0.749,1.036,14.1,7.1,75.0,5.7,4,2.0,30.0,10.0
SPY,RECENT,1823,0.479,0.64,40.5,25.7,55.6,3.24,9,2.0,30.0,10.0
SPY,FULL,1682,0.465,0.622,40.5,25.7,47.4,3.06,19,2.0,30.0,10.0
QQQ,IS,1569,0.364,0.476,35.2,22.4,27.8,1.72,18,2.0,30.0,10.0
QQQ,OOS,5669,1.025,1.399,24.8,11.3,60.0,10.0,5,2.0,30.0,10.0
QQQ,HOLDOUT,5278,1.027,1.457,23.6,6.8,50.0,10.0,4,2.0,30.0,10.0
QQQ,RECENT,5453,1.025,1.427,27.3,14.7,55.6,10.0,9,2.0,30.0,10.0
QQQ,FULL,2963,0.631,0.848,35.2,22.4,37.0,3.44,27,2.0,30.0,10.0
