asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,win_rate,pf,trades,ov_campaigns,ov_pnl,ov_pf
SPY,IS,1281,0.41,0.56,24.0,51.7,2.75,451,144,-198,0.91
SPY,OOS,1479,0.36,0.48,24.4,50.0,2.69,150,48,-101,0.88
SPY,HOLDOUT,3680,1.05,1.48,13.2,51.9,7.96,185,60,-127,0.88
SPY,FULL,1789,0.53,0.72,27.3,51.4,3.39,786,252,-425,0.89
QQQ,IS,2250,0.49,0.65,33.2,50.4,2.85,554,178,-377,0.88
QQQ,OOS,2384,0.47,0.62,24.5,46.7,7.24,135,43,-170,0.82
QQQ,HOLDOUT,4822,0.92,1.27,27.7,54.5,8.45,187,61,-40,0.97
QQQ,FULL,2782,0.58,0.77,33.2,50.7,3.95,876,282,-587,0.89
SMH,IS,2684,0.5,0.68,33.1,48.7,2.5,520,165,-94,0.97
SMH,OOS,4622,0.56,0.78,40.3,51.4,4.9,148,47,277,1.28
SMH,HOLDOUT,5816,0.69,0.96,38.3,39.7,4.09,174,55,-478,0.63
SMH,FULL,3617,0.55,0.76,41.2,47.3,3.36,842,267,-294,0.95
IWM,IS,1352,0.34,0.46,28.5,53.0,1.93,470,148,-35,0.99
IWM,OOS,1707,0.34,0.49,27.4,53.9,3.05,76,23,126,1.33
IWM,HOLDOUT,752,0.16,0.23,19.5,37.7,1.37,146,46,-845,0.37
IWM,FULL,1290,0.3,0.42,42.0,49.9,1.96,692,217,-754,0.85
